product_id,category,weight,fulfillment_type,price,popularity,weather_exposure,avg_days_to_ship,sales
AX450,1,33.32,1,660.75,0.1583,2,6,28918.93
AX574,5,43.53,1,223.25,0.0519,22,9,6273.54
AX668,3,17.9,0,422.75,0.0549,4,4,17219.68
AX768,1,57.73,1,493.86,0.0444,17,8,8731.99
AX775,4,25.83,1,338.84,0.5825,21,6,34674.86
AX788,1,28.43,1,425.48,0.0029,1,5,4908.69
AX855,1,158.83,1,626.77,0.489,4,8,61440.63
AX867,6,0.45,1,43.36,0.0216,7,4,10985.9
AX940,2,46.94,1,390.07,0.0218,19,6,18053.0
AY097,1,46.77,0,426.49,0.572,21,6,98779.92
AY103,1,26.11,1,489.54,0.3204,6,5,22150.79
AY206,3,18.3,1,426.59,0.0576,7,6,22071.93
AY209,4,37.03,1,342.3,0.192,24,7,15776.65
AY233,3,21.28,1,372.81,0.0729,3,4,5194.86
AY239,1,162.8,1,660.26,0.2195,5,9,42769.42
AY279,4,28.42,1,302.03,0.0563,4,4,38530.33
AY332,1,105.92,1,716.36,0.7545,1,6,48913.19
AY469,3,35.26,1,407.61,0.0701,12,8,5918.84
AY530,3,7.22,0,300.06,0.5704,28,5,67892.35
AY581,3,33.86,0,418.72,0.2609,3,3,73208.79
AY589,6,0.87,1,51.44,0.3556,2,4,23573.98
AY597,4,17.12,0,257.37,0.1048,1,2,40052.47
AY695,2,119.79,1,535.65,0.1284,2,6,18063.9
AY747,2,57.54,1,457.24,0.4907,4,6,51155.03
AY749,1,165.87,1,649.19,0.3852,26,11,29284.93
AY773,1,187.04,1,719.29,0.4525,3,8,14796.5
AY801,3,42.91,1,411.39,0.1444,7,6,15517.88
AY803,2,20.51,1,536.63,0.3149,5,4,47284.85
AY821,1,40.13,0,524.12,0.2708,14,5,37865.52
AY845,1,29.29,1,684.0,0.1676,4,4,9340.57
AY850,1,97.63,1,723.81,0.4536,5,6,51202.54
AY919,2,60.75,1,512.73,0.2493,5,7,11428.27
AZ047,5,30.43,0,270.26,0.3883,5,2,95642.11
AZ376,3,30.57,1,332.25,0.3782,3,6,48156.63
AZ412,1,21.02,1,618.76,0.377,7,4,92919.19
AZ535,1,31.22,1,330.73,0.7618,3,4,140998.8
AZ549,5,33.53,1,179.78,0.2845,1,5,34307.2
AZ568,6,0.36,0,47.61,0.0914,4,4,33806.58
AZ580,5,32.13,1,210.53,0.0456,27,8,4152.71
AZ683,2,24.36,1,386.28,0.1367,25,8,4489.97
AZ685,1,51.5,1,483.41,0.4955,1,5,49554.4
AZ705,2,34.5,1,413.38,0.0124,19,7,12665.43
AZ765,2,33.73,1,447.24,0.1449,2,5,36355.97
AZ776,3,12.0,1,440.2,0.024,7,4,14092.39
AZ809,4,16.84,1,279.08,0.0616,0,5,9252.29
AZ861,2,30.83,0,382.26,0.1891,2,3,97289.23
AZ927,2,44.83,1,306.44,0.2379,8,5,32165.72
AZ997,5,18.87,0,241.79,0.1299,15,5,30247.44
BA008,4,21.46,1,272.25,0.353,1,5,34221.68
BA021,3,15.67,1,284.66,0.0318,10,5,14273.31
BA039,2,32.94,1,587.49,0.3588,2,5,68677.18
BA127,2,75.99,1,504.55,0.6305,28,7,28053.14
BA181,1,35.21,1,545.56,0.1752,7,5,17888.58
BA302,1,71.51,1,458.67,0.7723,4,5,154700.79
BA322,1,30.15,0,582.08,0.272,5,4,83147.28
BA380,6,1.44,0,35.05,0.0523,28,6,7894.37
BA387,2,95.31,1,695.72,0.4191,3,6,73942.04
BA425,6,1.25,1,36.13,0.0168,28,6,3004.46
BA621,5,23.86,1,163.29,0.1071,13,7,15662.01
BA744,4,26.01,0,396.66,0.1648,2,2,34546.87
BA831,1,59.89,1,516.37,0.2999,7,6,32675.98
BA863,6,3.18,1,44.21,0.2875,9,5,10450.16
BA975,1,112.58,0,691.07,0.5311,22,8,29913.65
BB050,2,47.45,1,339.96,0.0718,4,5,19391.64
BB072,1,57.17,1,407.8,0.5379,19,6,49624.81
BB085,5,36.97,1,194.67,0.0866,6,5,3937.42
BB160,2,51.44,1,437.87,0.1052,17,7,19178.22
BB182,1,131.65,1,793.09,0.39,2,8,11835.03
BB187,3,21.79,0,344.82,0.6748,7,3,144887.49
BB207,2,65.47,1,448.12,0.0164,14,8,7571.87
BB252,2,76.07,1,447.32,0.0811,1,5,32450.79
BB258,2,26.82,1,558.52,0.0574,4,5,28711.56
BB376,1,32.92,1,528.66,0.0541,6,6,40052.78
BB587,3,18.35,1,236.8,0.256,15,5,26058.11
BB606,2,53.27,0,502.67,0.2653,23,7,47668.51
BB756,1,44.67,0,478.6,0.4204,21,3,72555.52
BB759,2,13.8,0,353.51,0.6153,6,4,193912.53
BB974,6,0.46,1,47.57,0.0311,29,6,4162.55
BC042,6,0.72,1,40.62,0.5688,4,3,48895.16
BC068,3,12.55,1,304.76,0.0276,2,4,5508.59
BC078,1,34.24,1,524.02,0.0572,7,5,13800.43
BC112,3,25.57,1,273.4,0.2046,6,5,13832.92
BC289,1,36.51,1,612.22,0.0887,0,5,9992.47
BC354,4,7.52,1,350.96,0.3328,5,4,40612.38
BC446,3,21.5,1,335.65,0.1111,24,7,8422.18
BC460,2,26.63,0,442.7,0.1803,5,3,28905.49
BC627,6,0.74,1,37.26,0.0819,0,5,13793.21
BC743,3,46.9,0,435.63,0.6566,11,4,89927.29
BC816,1,64.62,1,496.85,0.164,14,8,22925.75
BC867,1,42.71,1,447.04,0.2381,3,6,17920.51
BC900,2,21.3,1,520.45,0.0876,1,5,6099.28
BC920,1,80.11,0,816.37,0.0782,30,7,14487.25
BD006,2,25.89,1,398.98,0.09,4,4,35635.62
BD101,1,56.34,1,641.76,0.1552,19,8,10733.51
BD206,2,39.33,1,514.16,0.2049,7,7,24620.86
BD268,1,76.41,1,665.43,0.0552,8,8,54132.46
BD344,1,69.04,0,579.51,0.1735,9,5,66188.8
BD593,6,0.39,1,46.47,0.185,24,7,3433.92
BD608,1,127.11,1,652.49,0.0556,0,8,9009.14
BD647,6,2.37,1,44.65,0.2155,5,6,9093.15
BD692,2,23.09,1,337.4,0.3395,0,5,40267.78
BD722,1,50.74,0,618.12,0.1381,4,4,46579.0
BD729,2,72.68,1,443.12,0.4109,30,9,60418.4
BD751,4,56.84,0,424.65,0.0264,3,4,18395.54
BD760,2,22.76,0,417.19,0.0548,22,5,10847.58
BD841,3,63.39,1,354.28,0.0319,3,5,28104.16
BD847,2,61.7,1,448.01,0.1959,7,7,22018.45
BD860,5,18.7,1,220.52,0.0393,3,5,10691.62
BD943,4,14.93,0,341.28,0.0733,5,3,28558.02
BD971,1,59.88,1,641.39,0.0251,6,8,9096.44
BD973,2,42.68,1,548.53,0.0032,5,6,16049.13
BD980,3,36.67,1,470.09,0.479,9,6,39231.9
BE055,4,57.08,1,417.24,0.033,5,6,10743.43
BE113,2,22.55,1,459.78,0.3312,23,7,53791.64
BE204,1,85.97,1,596.13,0.3401,6,7,20710.04
BE209,2,54.59,1,526.15,0.322,3,6,34580.53
BE302,2,54.56,1,405.07,0.2092,3,6,27126.93
BE325,3,26.45,1,411.93,0.3198,28,7,19919.07
BE433,1,95.63,1,526.42,0.1706,1,6,29485.4
BE458,4,43.62,0,330.86,0.0498,2,4,11825.61
BE461,6,0.32,0,41.97,0.074,0,2,28522.2
BE810,2,97.64,1,453.32,0.0076,5,7,21380.94
BE944,5,13.88,1,222.44,0.2995,1,3,53927.23
BE993,1,114.18,1,537.98,0.0679,8,8,6600.18
BF005,5,11.35,0,260.6,0.3893,26,6,23670.49
BF061,1,48.26,0,440.48,0.3304,17,5,51422.08
BF095,1,55.28,1,543.13,0.0075,0,6,26693.43
BF193,2,62.21,1,394.95,0.1451,7,6,10946.15
BF319,6,1.09,1,48.96,0.0295,0,4,9972.25
BF328,1,47.57,1,454.6,0.1484,4,5,87226.14
BF513,5,41.1,1,270.4,0.1291,5,6,11217.12
BF577,3,14.71,0,286.83,0.0091,3,4,11827.46
BF609,2,89.23,1,639.15,0.0866,5,6,3324.3
